LIEU_IDENTIFIANT,LIEU_LIBELLE,LIEU_MNEMONIQUE,LATITUDE,LONGITUDE,DCSMM_SOUS_REGION,QUADRIGE_ZONEMARINE,DCE_MASSE_EAU,PROGRAMME,TAXON_PRESENT
39097005,"111-P-126 - 20A03 - Cortiou 3",111-P-126,43.2114835182,5.4025756402,"DCSMM sous-région Méditerranée-Occidentale","111 - Marseille et calanques","FRDC07A - iles de Marseille hors Frioul",RINBIO,
37087034,"104-P-031 - 09B - Etang de thau nord",104-P-031,43.4339712986,3.6518704953,,"104 - Etang de Thau","FRDT10 - Etang de Thau",RINBIO,
37087035,"104-P-032 - 09A - Etang de thau sud",104-P-032,43.372969125,3.5638699237,,"104 - Etang de Thau","FRDT10 - Etang de Thau",RINBIO,
60004747,"122-P-139 - 50E - Canari",122-P-139,42.8069704284852,9.32623013478172,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01D - Canari",RINBIO,
41108005,"114-P-007 - 28C - ile st honorat",114-P-007,43.4975052332,7.0467705285,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
43113002,"117-P-002 - 32B - Fium alto",117-P-002,42.4630053159,9.5616733618,"DCSMM sous-région Méditerranée-Occidentale","117 - Plaine Orientale","FREC02D - Plaine Orientale",RINBIO,
36086336,"101-P-006 - GRU - Gruissan",101-P-006,43.1096254559,3.0825322118,,"101 - Etangs gruissanais","FRDT06A - Complexe du Narbonnais Gruissan","REPHY,RINBIO,RSLHYD",
60004934,"115-P-033 - Bastia Sud Marana STEP",115-P-033,42.61848,9.49948,"DCSMM sous-région Méditerranée-Occidentale","115 - Cap Corse - Bastia","FREC02C - Littoral Bastiais",RINBIO,
40105001,"113-P-033 - 26A - St tropez",113-P-033,43.2861632493,6.6157654157,"DCSMM sous-région Méditerranée-Occidentale","113 - Giens - Estérel","FRDC08B - Ouest Fréjus - Saint Raphaël",RINBIO,
36081019,"095-P-019 - 02C - Barcares 1",095-P-019,42.7849517855,3.0572043438,"DCSMM sous-région Méditerranée-Occidentale","095 - Littoral de l'embouchure du Tech au Grau d'Agde","FRDC02A - Racou Plage - Embouchure de l'Aude","RINBIO,ROCCHSED",
60004744,"117-P-031 - Poggio-Mezzana",117-P-031,42.4071001810501,9.55009957754979,"DCSMM sous-région Méditerranée-Occidentale","117 - Plaine Orientale","FREC02D - Plaine Orientale",RINBIO,
60004078,"122-P-121 - Revellata SM",122-P-121,42.5799004224502,8.72920036210019,"DCSMM sous-région Méditerranée-Occidentale","122 - Corse Ouest","FREC01AB - Pointe Palazzu - Sud Nonza",RINBIO,
37089013,"105-P-158 - 11C - Etang d ingrill",105-P-158,43.4456394685,3.7788727456,,"105 - Etangs Palavasiens","FRDT11C - Etangs Palavasiens Ouest",RINBIO,
60006074,"115-P-034 - Emb. Golu Sud",115-P-034,42.5237004626836,9.54509957754979,"DCSMM sous-région Méditerranée-Occidentale","115 - Cap Corse - Bastia","FREC02C - Littoral Bastiais",RINBIO,
60000808,"104-P-428 - Marseillan est",104-P-428,43.3791299537316,3.57108026554013,,"104 - Etang de Thau","FRDT10 - Etang de Thau","ECOSCOPA,RINBIO",
41108003,"114-P-005 - 28B0 - Cannes est",114-P-005,43.5473402819,7.1127710119,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
41108006,"114-P-008 - 28D - Réserve marine Cannes",114-P-008,43.5465065691,7.0739368937,"DCSMM sous-région Méditerranée-Occidentale","114 - Cannes - Menton","FRDC08E - Pointe de la Galère - Cap d'Antibes",RINBIO,
43111004,"115-P-006 - 32A03 - Bastia sud 2",115-P-006,42.673008895,9.4535010806,"DCSMM sous-région Méditerranée-Occidentale","115 - Cap Corse - Bastia","FREC02C - Littoral Bastiais",RINBIO,
